term,type,label,description,domain,range
SapporoConfiguration,Class,sapporo configuration,Configuration parameters for Sapporo-service,,
configuration,Property,configuration,Configuration parameters for Sapporo-service,SapporoService,SapporoConfiguration
getRuns,Property,get runs,Get runs mode parameter of Sapporo-service,SapporoConfiguration,bool
workflowAttachment,Property,workflow attachment,Workflow attachment mode parameter of Sapporo-service,SapporoConfiguration,bool
registeredOnlyMode,Property,registered only mode,Registered only mode parameter of Sapporo-service,SapporoConfiguration,bool
urlPrefix,Property,url prefix,URL prefix parameter of Sapporo-service,SapporoConfiguration,string
sapporoEndpoint,Property,sapporo endpoint,Sapporo endpoint parameter of Sapporo-service,SapporoConfiguration,string
sapporoConfig,Property,sapporo config,Sapporo config file,SapporoConfiguration,File
runSh,Property,run sh,Run.sh file,SapporoConfiguration,File
serviceInfo,Property,service info,Service info file,SapporoConfiguration,File
executableWorkflows,Property,executable workflows,Executable workflows file,SapporoConfiguration,File
SapporoService,Class,sapporo service,Sapporo-service as a test service,,
TestEnvironment,Class,test environment,Computational environment of the instance,,
os,Property,os,Operating system of the environment,TestEnvironment,string
osVersion,Property,os version,Operating system version of the environment,TestEnvironment,string
cpuArchitecture,Property,cpu architecture,CPU architecture of the environment,TestEnvironment,string
cpuCount,Property,cpu count,CPU count of the environment,TestEnvironment,int
totalMemory,Property,total memory,Total memory of the environment,TestEnvironment,int
freeDiskSpace,Property,free disk space,Free disk space of the environment,TestEnvironment,int
inDocker,Property,in docker,Is the environment running in a Docker container,TestEnvironment,bool
environment,Property,environment,Environment of the test instance,TestInstance,TestEnvironment
TestResult,Class,test result,Result of a test run,,
intermediateFiles,Property,intermediate files,Files that compose Sapporo's execution directory,TestResult,File
pid,Property,pid,Process ID of a test run,TestResult,int
stdout,Property,stdout,Stdout of a test run,TestResult,File
stderr,Property,stderr,Stderr of a test run,TestResult,File
exitCode,Property,exit code,Exit code of a test run,TestResult,int
state,Property,state,State of a test run,TestResult,string
outputs,Property,outputs,Output Files of a test run,TestResult,File
result,Property,result,Result of a test run,TestSuite,TestResult
runId,Property,run id,Run ID of a test run,TestResult,string
WorkflowAttachment,Class,workflow attachment,File attached to a workflow,,
uid,Property,uid,User ID of a file,File,string
gid,Property,uid,Group ID of a file,File,string
mode,Property,mode,File mode of a file,File,string
sha512,Property,sha512,SHA512 checksum of a file,File,string
lineCount,Property,line count,Line count of a file,File,int
attachment,Property,attachment,File attached to a workflow,ComputationalWorkflow,File
workflowParameters,Property,workflow parameters,Parameter file of a workflow,TestDefinition,File
workflowEngineParameters,Property,workflow engine parameters,Workflow engine parameters file,TestDefinition,File
yevisMetadata,Property,yevis metadata,Yevis metadata file,TestDefinition,File
cmd,Property,cmd,Executed command of a test run,TestDefinition,string
yevisTestId,Property,yevis test id,Yevis test ID,TestDefinition,string
IntermediateFile,Class,intermediate file,File that compose Sapporo's execution directory,,
OutputFile,Class,output file,Output file of a test run,,
yevisId,Property,yevis id,Workflow ID in a Yevis metadata file,ComputationalWorkflow,string
FileStats,Class,file stats,File statistics,,
stats,Property,stats,Statistics of a file,File,FileStats
generatedBy,Property,generated by,Software that generated a statistics,FileStats,string
totalReads,Property,total reads,Total reads of a sam/bam file,FileStats,int
mappedReads,Property,mapped reads,Mapped reads of a sam/bam file,FileStats,int
unmappedReads,Property,unmapped reads,Unmapped reads of a sam/bam file,FileStats,int
duplicateReads,Property,duplicate reads,Duplicate reads of a sam/bam file,FileStats,int
mappedRate,Property,mapped rate,Mapped rate of a sam/bam file,FileStats,float
unmappedRate,Property,unmapped rate,Unmapped rate of a sam/bam file,FileStats,float
duplicateRate,Property,duplicate rate,Duplicate rate of a sam/bam file,FileStats,float
variantCount,Property,variant count,Variant count of a vcf file,FileStats,int
snpsCount,Property,snps count,Snps count of a vcf file,FileStats,int
indelsCount,Property,indels count,Indels count of a vcf file,FileStats,int
format,Property,format,Edam format of a File,File,Format
Format,Class,format,Edam format of a File,,